"FONDSID";"FST_FONDSTYPE_NR";"VAL_VALUTACODE";"FONDSNAAM";"NAAM_KORT";"SYMBOOL";"SYMBOOL_LONG";"CFI_CODE";"ISIN";"RECONCILIATIEISIN";"TICKER";"SYMBOLINDEX";"CUISP";"RIC";"BLOOMBERG";"MIC";"EXCANGE_SEGMENT";"EOD_DATETIME";"EXCANGE_NAME";"EXCANGE_TIMEZONE"
"456487";"1000";"EUR";"DJ EURO STOXX Total Market (Total Ret)";"DJ EURO STOXX Total ";"BKXT";"BKXT";"";"CH0009119642";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"456927";"1000";"EUR";"FTSE Italia All-Share Index";"FTSE Italia All-Shar";"ITLMS";"ITLMS";"";"";"";"";"";"";"";"";"MTAA";"MTA INTERNATIONAL - GERMAN SHARES";"7-12-2021 17:36:00";"Milan";"W. Europe Standard Time"
"456928";"1000";"EUR";"FTSE Italia Mid Cap Index";"FTSE Italia Mid Cap";"ITMC";"ITMC";"";"";"";"";"";"";"";"";"MTAA";"MTA INTERNATIONAL - GERMAN SHARES";"7-12-2021 17:36:00";"Milan";"W. Europe Standard Time"
"456929";"1000";"EUR";"FTSE Italia Micro Cap Index";"FTSE Italia Micro Ca";"FITMI";"FITMI";"";"";"";"";"";"";"";"";"MTAA";"MTA INTERNATIONAL - GERMAN SHARES";"7-12-2021 17:36:00";"Milan";"W. Europe Standard Time"
"456930";"1000";"EUR";"FTSE Italia Small Cap Index";"FTSE Italia Small Ca";"FITSC";"FITSC";"";"";"";"";"";"";"";"";"MTAA";"MTA INTERNATIONAL - GERMAN SHARES";"7-12-2021 17:36:00";"Milan";"W. Europe Standard Time"
"456931";"1000";"EUR";"FTSE Italia STAR Index";"FTSE Italia STAR Ind";"ITSTAR";"ITSTAR";"";"";"";"";"";"";"";"";"MTAA";"MTA INTERNATIONAL - GERMAN SHARES";"7-12-2021 17:36:00";"Milan";"W. Europe Standard Time"
"429323";"1000";"EUR";"STOXX Europe 50 Index";"STOXX Europe 50 Inde";"ES50";"ES50";"";"EU0009658160";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"410008";"1050";"CZK";"Czech Koruna (EUR / CZK)";"EUR / CZK";"EURCZK";"EURCZK";"";"EU0006169831";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"408159";"1000";"USD";"Crude Oil Future";"Crude Oil Future";"OIL";"OIL";"";"";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"7-12-2021 22:20:00";"Chicago Mercantile";"Central Standard Time"
"193484";"1000";"EUR";"FTSE MIB";"FTSE MIB";"MIBO";"MIBO";"";"IT0003465736";"";"FTSEMIB";"";"";"";"";"MTAA";"MTA INTERNATIONAL - GERMAN SHARES";"7-12-2021 17:36:00";"Milan";"W. Europe Standard Time"
"376352";"1050";"BRL";"Brazilian Real (EUR / BRL)";"EUR / BRL";"EURBRL";"EURBRL";"";"EU0006169823";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"377377";"1050";"CHF";"Swiss Franc (USD / CHF)";"USD / CHF";"USDCHF";"USDCHF";"";"XC0009652816";"FX000USD2CHF";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"446296";"1000";"EUR";"AEX XBEAR GR Index";"AEX XBEAR GR Index";"100";"100";"";"QS0011100854";"";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"1973520";"1000";"EUR";"Euro STOXX NR";"Euro STOXX NR";"SXXT";"SXXT";"";"EU0009658194";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"1973517";"1000";"EUR";"STOXX Europe 600 ex-UK NR ";"STOXX Europe 600 ex-";"SXXG";"SXXG";"";"CH0004352958";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"1973523";"1000";"EUR";"STOXX USA Total Market NR ";"STOXX USA Total Mark";"TCUSR";"TCUSR";"";"CH0114209155";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"2290668";"1000";"EUR";"VK3L Index";"VK3L";"VK3L";"VK3L";"";"QS0011235825";"";"VK3L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290670";"1000";"EUR";"ALO3L Index";"ALO3L";"ALO3L ";"ALO3L ";"";"QS0011236013";"";"ALO3L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"391570";"1000";"EUR";"BEL 20 BXO opties";"BEL 20 BXO opties";"BXO";"BXO";"";"";"";"";"";"";"";"";"XBRU";"Euronext Brussels";"7-12-2021 17:40:00";"Euronext Brussels";"W. Europe Standard Time"
"2991765";"1000";"EUR";"Euro-Buxl (FGBX) Cont Future";"Euro-Buxl (FGBX) Con";"18464";"18464";"";"DE0009652636";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"4243442";"1000";"EUR";"Three-Month EURIBOR (FEU3) Cont Future";"Three-Month EURIBOR";"34295";"34295";"";"DE000C14W5M9";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"376341";"1050";"JPY";"Japanese Yen (EUR / JPY)";"EUR / JPY";"EURJPY";"EURJPY";"";"EU0009652627";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376342";"1050";"NOK";"Norwegian Krone (EUR / NOK)";"EUR / NOK";"EURNOK";"EURNOK";"";"EU0009654698";"";"";"";"";"";"EURNOK";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376345";"1050";"SEK";"Swedish Krona (EUR / SEK)";"EUR / SEK";"EURSEK";"EURSEK";"";"EU0009654672";"";"";"";"";"";"EURSEK";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376346";"1050";"USD";"US Dollar (EUR / USD)";"EUR / USD";"EURUSD";"EURUSD";"";"EU0009652759";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376348";"1050";"EUR";"Argentine Peso (EUR/ ARS)";"(EUR/ ARS)";"EURARS";"EURARS";"";"EU0006169807";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376349";"1050";"AUD";"Australian Dollar (EUR / AUD)";"EUR / AUD";"EURAUD";"EURAUD";"";"EU0009654748";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376357";"1050";"ISK";"Iceland Krona (EUR / ISK)";"(EUR / ISK)";"EURISK";"EURISK";"";"EU0006014037";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376360";"1050";"EUR";"Zimbabwean Dollar (EUR/ ZWD)";"EUR / ZWN";"EURZWN";"EURZWN";"";"";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376337";"1050";"CAD";"Canadian Dollar (EUR / CAD)";"EUR / CAD";"EURCAD";"EURCAD";"";"EU0009654664";"";"";"";"";"";"EURCAD";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"376338";"1050";"CHF";"Swiss Franc (EUR / CHF)";"EUR / CHF";"EURCHF";"EURCHF";"";"EU0009654078";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"2273854";"1000";"EUR";"CAC40 Leverage";"CAC40 Leverage";"CACLV";"CACLV";"";"QS0011095815";"";"CACLV";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2273860";"1000";"EUR";"CAC 40 DOUBLE SHORT";"CAC 40 DOUBLE SHORT";"CAC2S";"CAC2S";"";"QS0011146865";"";"CAC2S";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2273881";"1000";"EUR";"CAC 40 X5 LEV";"CAC 40 X5 LEV";"CAC5L";"CAC5L";"";"QS0011206016";"";"CAC5L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2273895";"1000";"EUR";"FRANCE BNP2L Index";"FRANCE BNP2L Index";"BNP2L";"BNP2L";"";"QS0011216593";"";"BNP2L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2273896";"1000";"EUR";"FRANCE BNP3L Index";"FRANCE BNP3L Index";"BNP3L";"BNP3L";"";"QS0011216726";"";"BNP3L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2273990";"1000";"EUR";"UG3L Index";"UG3L Index";"UG3L";"UG3L";"";"QS0011216825";"";"UG3L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2733152";"1000";"EUR";"Euro Stoxx 50 Volatilty";"Euro Stoxx 50 Volati";"FVS";"14954";"";"DE000A0C3QF1";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"2752918";"1050";"EUR";"CHF / EUR";"CHF / EUR";"CHFEUR";"CHFEUR";"";"";"BBG0013HQ1S5";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"2573758";"1000";"EUR";"1PX";"1PX";"1PX";"1PX";"";"";"";"";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2752917";"1050";"EUR";"CAD / EUR";"CAD / EUR";"CADEUR";"CADEUR";"";"AU000WORQ193";"BBG0013HQ178";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"2753018";"1050";"EUR";"ZAR / EUR";"ZAR / EUR";"ZAREUR";"ZAREUR";"";"";"BBG0013HQ1K3";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"1359251";"1060";"EUR";"ITCPIUNR";"ITCPIUNR";"ITCPIUNR";"ITCPIUNR";"";"";"";"ITCPIUNR";"";"";"";"";"-";"Indices";"7-12-2021 23:00:00";"Indices";"W. Europe Standard Time"
"2729514";"1050";"GBP";"British Pound (EUR / GBP) (Future)";"British Pound (EUR /";"EURPOUND";"EURPOUND";"";"";"";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"1495636";"1000";"EUR";"Stoxx 1800 ex apac (t/m sep-14 Stoxx EU)";"Stoxx 1800 ex apac (";"X0A2";"X0A2.SIM";"";"";"";"";"";"";"";"";"-";"Indices";"7-12-2021 23:00:00";"Indices";"W. Europe Standard Time"
