"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2003-05-05";"2991.74000";"3039.26000";"2978.71000";"3013.04000";"0"
"3830";"2003-05-06";"3002.40000";"3066.95000";"2977.80000";"3066.95000";"0"
"3830";"2003-05-07";"3063.41000";"3068.08000";"2992.79000";"3005.64000";"0"
"3830";"2003-05-08";"3005.12000";"3016.57000";"2884.51000";"2886.08000";"0"
"3830";"2003-05-09";"2892.63000";"2956.59000";"2861.70000";"2956.59000";"0"
"3830";"2003-05-12";"2961.14000";"2972.72000";"2871.61000";"2937.26000";"0"
"3830";"2003-05-13";"2941.57000";"2951.99000";"2883.31000";"2909.95000";"0"
"3830";"2003-05-14";"2906.95000";"2960.23000";"2888.20000";"2926.03000";"0"
"3830";"2003-05-15";"2926.79000";"2989.38000";"2902.52000";"2989.38000";"0"
"3830";"2003-05-16";"2987.45000";"3029.49000";"2952.18000";"2989.08000";"0"
"3830";"2003-05-19";"2976.38000";"2976.38000";"2841.02000";"2850.68000";"0"
"3830";"2003-05-20";"2848.19000";"2875.40000";"2820.41000";"2838.93000";"0"
"3830";"2003-05-21";"2841.33000";"2853.04000";"2773.77000";"2827.25000";"0"
"3830";"2003-05-22";"2826.47000";"2865.21000";"2817.63000";"2865.21000";"0"
"3830";"2003-05-23";"2867.10000";"2886.07000";"2804.13000";"2822.83000";"0"
"3830";"2003-05-26";"2821.54000";"2855.28000";"2812.40000";"2828.28000";"0"
"3830";"2003-05-27";"2827.66000";"2875.14000";"2769.45000";"2873.60000";"0"
"3830";"2003-05-28";"2885.53000";"2958.21000";"2885.53000";"2919.54000";"0"
"3830";"2003-05-29";"2914.18000";"2968.43000";"2897.10000";"2906.71000";"0"
"3830";"2003-05-30";"2907.73000";"2997.62000";"2906.42000";"2982.68000";"0"
"3830";"2003-06-02";"2990.93000";"3066.04000";"2990.93000";"3064.56000";"0"
"3830";"2003-06-03";"3062.86000";"3062.86000";"3003.16000";"3026.82000";"0"
"3830";"2003-06-04";"3030.29000";"3099.82000";"3020.16000";"3080.02000";"0"
"3830";"2003-06-05";"3086.65000";"3106.27000";"3020.46000";"3039.76000";"0"
"3830";"2003-06-06";"3054.99000";"3146.91000";"3054.99000";"3127.46000";"0"
"3830";"2003-06-09";"3124.59000";"3132.76000";"3075.19000";"3094.76000";"0"
"3830";"2003-06-10";"3088.61000";"3149.44000";"3076.77000";"3140.34000";"0"
"3830";"2003-06-11";"3145.52000";"3191.33000";"3133.65000";"3178.15000";"0"
"3830";"2003-06-12";"3180.61000";"3253.70000";"3180.61000";"3219.47000";"0"
"3830";"2003-06-13";"3220.82000";"3246.14000";"3157.29000";"3168.71000";"0"
"3830";"2003-06-16";"3156.80000";"3264.50000";"3122.40000";"3264.50000";"0"
"3830";"2003-06-17";"3276.16000";"3321.50000";"3264.10000";"3286.48000";"0"
"3830";"2003-06-18";"3280.04000";"3316.07000";"3263.33000";"3304.15000";"0"
"3830";"2003-06-19";"3304.24000";"3324.44000";"3217.63000";"3247.11000";"0"
